Sample_ID,Genotype,Drought_Stage,Treatment,c__Atractiellomycetes,c__Chytridiomycota_cls_Incertae_sedis,c__Cystobasidiomycetes,c__Dothideomycetes,c__Eurotiomycetes,c__Fungi_cls_Incertae_sedis,c__Leotiomycetes,c__Rozellomycota_cls_Incertae_sedis,c__Sordariomycetes,c__Spizellomycetes,c__Tremellomycetes,c__Ustilaginomycetes
P1,ES4,V2-Stage,Control,2.16E-05,2.05E-03,0.00E+00,3.32E-03,0.016056803,0.92826235,1.94E-04,6.04E-04,0.042828932,4.92E-03,3.24E-05,0.00E+00
P2,ES4,V2-Stage,Drought,0.00E+00,2.02E-02,0.00E+00,4.70E-03,0.020079216,0.90217664,3.95E-04,0.00E+00,0.0464287,5.74E-04,0.00E+00,8.38E-05
P3,ES4,V2-Stage,Control,0.00E+00,6.69E-03,0.00E+00,6.06E-03,0.035896597,0.83148574,3.62E-04,0.00E+00,0.107386078,7.17E-03,1.05E-04,5.84E-05
P4,ES4,V2-Stage,Drought,0.00E+00,5.83E-04,0.00E+00,3.55E-03,0.024620519,0.95283925,3.09E-04,0.00E+00,0.016242228,1.79E-03,0.00E+00,0.00E+00
P5,ES4,V2-Stage,Control,2.43E-05,6.24E-03,0.00E+00,1.25E-02,0.008247398,0.82749699,0.00E+00,0.00E+00,0.11575508,5.34E-04,0.00E+00,1.13E-03
P6,ES4,V2-Stage,Drought,0.00E+00,1.39E-03,0.00E+00,2.53E-02,0.046297886,0.8337581,2.91E-04,0.00E+00,0.091341265,1.44E-03,0.00E+00,0.00E+00
P7,ES4,V2-Stage,Control,0.00E+00,2.18E-02,5.67E-05,6.85E-03,0.06636275,0.84961784,1.93E-04,0.00E+00,0.041085482,5.33E-03,0.00E+00,2.54E-03
P8,ES4,V2-Stage,Drought,0.00E+00,0.00E+00,0.00E+00,3.70E-03,0.01179047,0.95734509,0.00E+00,0.00E+00,0.026826741,6.84E-05,0.00E+00,2.15E-04
P9,UCR369,V2-Stage,Control,0.00E+00,1.55E-03,0.00E+00,7.70E-03,0.186590177,0.74462609,0.00E+00,0.00E+00,0.045462791,0.00E+00,0.00E+00,2.34E-03
P10,UCR369,V2-Stage,Control,0.00E+00,1.44E-02,0.00E+00,7.31E-03,0.007068642,0.86064847,2.60E-04,0.00E+00,0.059977068,4.49E-04,0.00E+00,1.91E-03
P11,UCR369,V2-Stage,Drought,0.00E+00,2.62E-04,0.00E+00,2.11E-03,0.011256396,0.96214895,0.00E+00,0.00E+00,0.022626492,1.14E-03,0.00E+00,0.00E+00
P12,UCR369,V2-Stage,Drought,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.000645027,0.99549574,0.00E+00,0.00E+00,0.0032798,6.56E-05,0.00E+00,0.00E+00
P13,UCR369,V2-Stage,Control,0.00E+00,7.74E-03,0.00E+00,2.57E-02,0.035288201,0.8667423,0.00E+00,9.36E-05,0.048329746,3.74E-03,0.00E+00,9.12E-04
P14,UCR369,V2-Stage,Control,0.00E+00,2.44E-02,0.00E+00,2.09E-02,0.052230503,0.83440718,7.37E-04,1.94E-04,0.054106505,2.13E-03,1.42E-04,5.18E-05
P15,UCR369,V2-Stage,Drought,0.00E+00,1.43E-03,0.00E+00,1.39E-03,0.007747208,0.9696214,5.31E-05,0.00E+00,0.018253695,2.52E-04,0.00E+00,0.00E+00
P16,UCR369,V2-Stage,Drought,0.00E+00,5.21E-05,0.00E+00,0.00E+00,0.000963579,0.77802518,0.00E+00,0.00E+00,0.220620597,6.51E-05,0.00E+00,0.00E+00
P17,ES4,V4-Stage,Control,0.00E+00,4.28E-02,3.45E-04,2.43E-03,0.318932293,0.41312985,0.00E+00,2.38E-04,0.065530285,3.57E-04,3.57E-05,4.88E-04
P18,ES4,V4-Stage,Control,0.00E+00,1.40E-03,0.00E+00,1.07E-03,0.109819017,0.82822228,0.00E+00,0.00E+00,0.053866042,2.43E-04,1.28E-04,2.68E-03
