Sample_ID,Genotype,Drought_Stage,Treatment,f__Aspergillaceae,f__Bionectriaceae,f__Botryosphaeriaceae,f__Chaetomiaceae,f__Chytridiomycota_fam_Incertae_sedis,f__Cladosporiaceae,f__Coniochaetaceae,f__Fungi_fam_Incertae_sedis,f__Glomosporiaceae,f__Hoehnelomycetaceae,f__Hypocreaceae,f__Hypocreales_fam_Incertae_sedis,f__Lentitheciaceae,f__Magnaporthaceae,f__Massarinaceae,f__Microascaceae,f__Nectriaceae,f__Ophiocordycipitaceae,f__Periconiaceae,f__Pleosporaceae,f__Pleosporales_fam_Incertae_sedis,f__Pseudeurotiaceae,f__Rozellomycota_fam_Incertae_sedis,f__Sakaguchiaceae,f__Spizellomycetaceae,f__Sporormiaceae,f__Stachybotryaceae,f__Torulaceae,f__Trichomeriaceae,f__Trimorphomycetaceae,f__Ustilaginaceae
P1,ES4,V2-Stage,Control,0.015549633,7.55E-05,2.37E-04,0.036235716,2.05E-03,0.001219367,1.29E-04,0.92826235,0.00E+00,2.16E-05,5.83E-04,0.00E+00,1.83E-04,0.00E+00,0.00E+00,8.63E-05,0.003215677,0.000474798,0.00E+00,0.00E+00,1.94E-04,1.94E-04,6.04E-04,0.00E+00,4.92E-03,3.78E-04,7.77E-04,7.66E-04,2.59E-04,3.24E-05,0.00E+00
P2,ES4,V2-Stage,Drought,0.019851859,0.00E+00,5.15E-04,0.020043318,2.02E-02,0.000490613,3.59E-05,0.90217664,8.38E-05,0.00E+00,4.91E-04,8.62E-04,2.03E-04,0.00E+00,0.00E+00,0.00E+00,0.005336907,0,0.00E+00,2.79E-03,5.98E-05,3.95E-04,0.00E+00,0.00E+00,5.74E-04,3.35E-04,3.33E-03,9.57E-05,0.00E+00,0.00E+00,0.00E+00
P3,ES4,V2-Stage,Control,0.035370939,0.00E+00,2.80E-04,0.087726471,6.69E-03,0.001296623,2.69E-04,0.83148574,5.84E-05,0.00E+00,1.32E-03,7.35E-03,6.78E-04,0.00E+00,0.00E+00,7.01E-05,0.002324576,0.000560702,4.56E-04,8.99E-04,0.00E+00,3.62E-04,0.00E+00,0.00E+00,7.17E-03,4.44E-04,5.61E-03,1.04E-03,2.57E-04,1.05E-04,0.00E+00
P4,ES4,V2-Stage,Drought,0.024403347,0.00E+00,3.09E-04,0.007658193,5.83E-04,0.001428767,2.51E-04,0.95283925,0.00E+00,0.00E+00,0.00E+00,2.57E-03,1.03E-04,0.00E+00,0.00E+00,4.57E-04,0.002926116,0.000297184,0.00E+00,9.83E-04,0.00E+00,3.09E-04,0.00E+00,0.00E+00,1.79E-03,4.23E-04,8.00E-05,2.06E-04,0.00E+00,0.00E+00,0.00E+00
P5,ES4,V2-Stage,Control,0.007980177,0.00E+00,0.00E+00,0.012535073,6.24E-03,0.009704964,0.00E+00,0.82749699,1.13E-03,2.43E-05,2.19E-04,1.85E-02,1.19E-03,0.00E+00,0.00E+00,4.86E-05,0.016494795,0.007081344,7.29E-05,1.55E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.34E-04,0.00E+00,6.00E-02,0.00E+00,2.67E-04,0.00E+00,0.00E+00
P6,ES4,V2-Stage,Drought,0.046297886,6.73E-04,3.87E-03,0.02083801,1.39E-03,0.000713088,3.04E-04,0.8337581,0.00E+00,0.00E+00,0.00E+00,3.71E-03,1.57E-02,5.41E-04,0.00E+00,1.32E-04,0.058222299,0.000528213,4.36E-04,1.56E-03,2.17E-03,2.91E-04,0.00E+00,0.00E+00,1.44E-03,5.41E-04,3.61E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P7,ES4,V2-Stage,Control,0.06636275,0.00E+00,0.00E+00,0.009355651,2.18E-02,0.002959788,4.65E-04,0.84961784,2.39E-03,0.00E+00,0.00E+00,1.98E-03,2.49E-04,5.22E-04,4.42E-04,0.00E+00,0.017157697,0.004649475,0.00E+00,9.98E-04,0.00E+00,1.93E-04,0.00E+00,5.67E-05,5.33E-03,2.12E-03,6.95E-03,0.00E+00,0.00E+00,0.00E+00,1.47E-04
P8,ES4,V2-Stage,Drought,0.01179047,0.00E+00,0.00E+00,0.003372896,0.00E+00,0.000156424,0.00E+00,0.95734509,2.15E-04,0.00E+00,0.00E+00,5.87E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.023043232,0,0.00E+00,3.43E-03,1.08E-04,0.00E+00,0.00E+00,0.00E+00,6.84E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
P9,UCR369,V2-Stage,Control,0.186397442,0.00E+00,0.00E+00,0.001009025,1.55E-03,0.007301256,6.80E-05,0.74462609,2.14E-03,0.00E+00,0.00E+00,4.56E-03,9.07E-05,0.00E+00,0.00E+00,0.00E+00,0.033127749,0.00017006,0.00E+00,1.70E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.50E-03,6.80E-05,1.93E-04,0.00E+00,1.93E-04
P10,UCR369,V2-Stage,Control,0.006832232,1.89E-04,0.00E+00,0.046265322,1.44E-02,0.003120604,2.01E-04,0.86064847,5.79E-04,0.00E+00,2.84E-04,3.05E-03,1.83E-03,0.00E+00,2.36E-05,0.00E+00,0.006406695,0.00126479,1.08E-03,1.21E-03,0.00E+00,2.60E-04,0.00E+00,0.00E+00,4.49E-04,0.00E+00,7.09E-04,0.00E+00,1.77E-04,0.00E+00,1.34E-03
