Sample_ID,Genotype,Drought_Stage,Treatment,g__Achroiostachys,g__Acremonium,g__Albifimbria,g__Aspergillus,g__Atractiella,g__Chytridiomycota_gen_Incertae_sedis,g__Cladosporium,g__Clonostachys,g__Coniochaeta,g__Curvularia,g__Emericellopsis,g__Fungi_gen_Incertae_sedis,g__Fusarium,g__Humicola,g__Knufia,g__Macrophomina,g__Neocosmospora,g__Penicillium,g__Periconia,g__Poaceascoma,g__Pseudeurotium,g__Pseudophialophora,g__Pseudothielavia,g__Purpureocillium,g__Rozellomycota_gen_Incertae_sedis,g__Saitozyma,g__Sakaguchia,g__Scedosporium,g__Spizellomyces,g__Stagonospora,g__Striaticonidium,g__Taifanglania,g__Talaromyces,g__Thecaphora,g__Thermothielavioides,g__Torula,g__Trichoderma,g__Ustilaginaceae_gen_Incertae_sedis,g__Westerdykella,g__Wettsteinina,g__Xenomyrothecium,none
P1,ES4,V2-Stage,Control,0.00E+00,0.00E+00,7.77E-04,0.008287382,2.16E-05,2.05E-03,0.001219367,7.55E-05,1.29E-04,0.00E+00,0,0.92826235,0.003215677,0.00375522,2.59E-04,2.37E-04,0,0.00726225,0.00E+00,1.83E-04,1.94E-04,0.00E+00,0.026588685,0.000474798,6.04E-04,3.24E-05,0.00E+00,8.63E-05,4.92E-03,0.00E+00,0.00E+00,0.00550334,0.00E+00,0.00E+00,3.88E-04,7.66E-04,5.83E-04,0.00E+00,3.78E-04,1.94E-04,0.00E+00,3.55E-03
P2,ES4,V2-Stage,Drought,1.08E-04,2.03E-04,2.78E-03,0.010984935,0.00E+00,2.02E-02,0.000490613,0.00E+00,3.59E-05,2.79E-03,0.000658139,0.90217664,0.005336907,0.004846295,0.00E+00,5.15E-04,0,0.007718173,0.00E+00,2.03E-04,3.95E-04,0.00E+00,0.014921801,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.74E-04,0.00E+00,2.39E-04,0,1.15E-03,8.38E-05,2.75E-04,9.57E-05,4.91E-04,0.00E+00,3.35E-04,5.98E-05,2.03E-04,2.22E-02
P3,ES4,V2-Stage,Control,7.01E-05,3.15E-03,3.17E-03,0.023526114,0.00E+00,6.69E-03,0.001296623,0.00E+00,2.69E-04,8.99E-04,0.004193582,0.83148574,0.002324576,0.006284533,2.57E-04,2.80E-04,0,0.009870688,4.56E-04,6.78E-04,3.62E-04,0.00E+00,0.077563751,0.000560702,0.00E+00,1.05E-04,0.00E+00,7.01E-05,7.17E-03,0.00E+00,2.35E-03,0.002932003,1.97E-03,5.84E-05,7.24E-04,1.04E-03,1.32E-03,0.00E+00,4.44E-04,0.00E+00,2.34E-05,8.40E-03
P4,ES4,V2-Stage,Drought,0.00E+00,2.31E-03,0.00E+00,0.012653164,0.00E+00,5.83E-04,0.001428767,0.00E+00,2.51E-04,9.83E-04,0.000262893,0.95283925,0.002926116,0.00164594,0.00E+00,3.09E-04,0,0.011098665,0.00E+00,1.03E-04,3.09E-04,0.00E+00,0.004869239,0.000297184,0.00E+00,0.00E+00,0.00E+00,4.57E-04,1.79E-03,0.00E+00,8.00E-05,0.000480066,6.52E-04,0.00E+00,5.37E-04,2.06E-04,0.00E+00,0.00E+00,4.23E-04,0.00E+00,0.00E+00,2.50E-03
P5,ES4,V2-Stage,Control,3.16E-04,9.70E-03,5.94E-02,0.00289084,2.43E-05,6.24E-03,0.009704964,0.00E+00,0.00E+00,1.55E-03,0.0087454,0.82749699,0.016494795,0.005696656,2.67E-04,0.00E+00,0,0.003048744,7.29E-05,1.19E-03,0.00E+00,0.00E+00,0.006364708,0.007081344,0.00E+00,0.00E+00,0.00E+00,4.86E-05,5.34E-04,0.00E+00,3.04E-04,0,2.04E-03,1.13E-03,4.74E-04,0.00E+00,2.19E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.90E-02
P6,ES4,V2-Stage,Drought,5.94E-04,2.52E-03,2.11E-03,0.009666301,0.00E+00,1.39E-03,0.000713088,6.73E-04,3.04E-04,1.56E-03,0.00118848,0.8337581,0.058222299,0.005546239,0.00E+00,3.87E-03,0,0.033528332,4.36E-04,1.57E-02,2.91E-04,5.41E-04,0.01442022,0.000528213,0.00E+00,0.00E+00,0.00E+00,1.32E-04,1.44E-03,0.00E+00,8.98E-04,0,3.10E-03,0.00E+00,8.72E-04,0.00E+00,0.00E+00,0.00E+00,5.41E-04,2.17E-03,0.00E+00,3.26E-03
P7,ES4,V2-Stage,Control,9.07E-05,8.51E-04,6.33E-03,0.017588624,0.00E+00,2.18E-02,0.002959788,0.00E+00,4.65E-04,9.98E-04,0.001134018,0.84961784,0.017157697,0.001814429,0.00E+00,0.00E+00,0,0.048774126,0.00E+00,2.49E-04,1.93E-04,5.22E-04,0.006429884,0.004649475,0.00E+00,0.00E+00,5.67E-05,0.00E+00,5.33E-03,4.42E-04,1.59E-04,0.000963916,0.00E+00,2.39E-03,1.47E-04,0.00E+00,0.00E+00,1.47E-04,2.12E-03,0.00E+00,3.74E-04,6.27E-03
P8,ES4,V2-Stage,Drought,0.00E+00,5.87E-05,0.00E+00,0.008554445,0.00E+00,0.00E+00,0.000156424,0.00E+00,0.00E+00,3.43E-03,0,0.95734509,0.023043232,0.001965078,0.00E+00,0.00E+00,0,0.003236025,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.001407817,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.84E-05,0.00E+00,0.00E+00,0,0.00E+00,2.15E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-04,0.00E+00,4.11E-04
P9,UCR369,V2-Stage,Control,0.00E+00,4.56E-03,5.50E-03,0.000498844,0.00E+00,1.55E-03,0.007301256,0.00E+00,6.80E-05,1.70E-04,0,0.74462609,0.032776291,0,1.93E-04,0.00E+00,0.000351458,0.185898599,0.00E+00,9.07E-05,0.00E+00,0.00E+00,0.001009025,0.00017006,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,2.14E-03,0.00E+00,6.80E-05,0.00E+00,1.93E-04,0.00E+00,0.00E+00,0.00E+00,1.28E-02
P10,UCR369,V2-Stage,Control,0.00E+00,9.46E-05,1.89E-04,0.002328633,0.00E+00,1.44E-02,0.003120604,1.89E-04,2.01E-04,1.21E-03,0.002955118,0.86064847,0.006406695,0.023960094,1.77E-04,0.00E+00,0,0.004503599,1.08E-03,1.83E-03,2.60E-04,0.00E+00,0.020780388,0.00126479,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.49E-04,2.36E-05,5.20E-04,0.001347534,0.00E+00,5.79E-04,1.42E-04,0.00E+00,2.84E-04,1.34E-03,0.00E+00,0.00E+00,0.00E+00,4.97E-02
