Sample_ID,Genotype,Drought_Stage,Treatment,none,o__Agaricales,o__Atractiellales,o__Auriculariales,o__Botryosphaeriales,o__Cantharellales,o__Capnodiales,o__Chaetothyriales,o__Chytridiomycota_ord_Incertae_sedis,o__Coniochaetales,o__Eurotiales,o__Fungi_ord_Incertae_sedis,o__Glomerellales,o__Hypocreales,o__Magnaporthales,o__Microascales,o__Mycosphaerellales,o__Onygenales,o__Pezizales,o__Pleosporales,o__Rozellomycota_ord_Incertae_sedis,o__Sebacinales,o__Sordariales,o__Spizellomycetales,o__Sporidiobolales,o__Thelebolales,o__Urocystidales,o__Ustilaginales
P1,ES4,V2-Stage,Control,1.835293e-03,0,2.134062e-05,0.000000e+00,2.347468e-04,0,0.001205745,5.121748e-04,2.027359e-03,1.280437e-04,0.018875776,0.92299238,0.000000e+00,0.005217781,0.000000e+00,8.536247e-05,1.067031e-04,1.312448e-03,0.000000e+00,1.600546e-03,5.975373e-04,1.120382e-03,0.037068653,4.865661e-03,0.000000e+00,1.920656e-04,0.000000e+00,0.000000e+00
P2,ES4,V2-Stage,Drought,6.850354e-03,0,0.000000e+00,0.000000e+00,5.018147e-04,0,0.000478475,0.000000e+00,2.399374e-02,3.501033e-05,0.021636383,0.8834973,0.000000e+00,0.010561449,1.144838e-02,0.000000e+00,1.167011e-04,2.217321e-04,0.000000e+00,3.431012e-03,0.000000e+00,7.235468e-04,0.035477132,5.601652e-04,0.000000e+00,3.851136e-04,8.169077e-05,0.000000e+00
P3,ES4,V2-Stage,Control,4.702393e-03,0,0.000000e+00,0.000000e+00,2.759350e-04,0,0.0012762,2.529404e-04,6.587949e-03,2.644377e-04,0.042183566,0.82470078,0.000000e+00,0.017590857,0.000000e+00,6.898375e-05,5.748646e-05,2.644377e-04,0.000000e+00,4.460949e-03,0.000000e+00,0.000000e+00,0.089839843,7.059338e-03,0.000000e+00,3.564161e-04,5.748646e-05,0.000000e+00
P4,ES4,V2-Stage,Drought,5.327367e-05,0,0.000000e+00,0.000000e+00,2.876778e-04,0,0.001331842,0.000000e+00,5.433914e-04,2.344041e-04,0.023142081,0.89085291,6.432263e-02,0.005817484,0.000000e+00,4.261893e-04,0.000000e+00,2.024399e-04,0.000000e+00,1.896543e-03,0.000000e+00,4.261893e-05,0.008886048,1.672793e-03,0.000000e+00,2.876778e-04,0.000000e+00,0.000000e+00
P5,ES4,V2-Stage,Control,2.760872e-02,0,2.391401e-05,0.000000e+00,0.000000e+00,0,0.011024356,2.630541e-04,1.265051e-02,7.174202e-05,0.008549257,0.81550345,0.000000e+00,0.105245537,3.587101e-04,4.782801e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.774025e-03,0.000000e+00,1.793550e-04,0.01376251,5.261081e-04,0.000000e+00,0.000000e+00,1.410926e-03,0.000000e+00
P6,ES4,V2-Stage,Drought,1.570701e-04,0,0.000000e+00,9.424207e-04,3.835129e-03,0,0.000706816,0.000000e+00,1.282739e-03,3.010511e-04,0.045890653,0.8254951,0.000000e+00,0.066584641,5.366562e-04,1.308918e-04,0.000000e+00,0.000000e+00,0.000000e+00,2.195055e-02,0.000000e+00,5.235671e-05,0.030288355,1.557612e-03,0.000000e+00,2.879619e-04,0.000000e+00,0.000000e+00
P7,ES4,V2-Stage,Control,6.225411e-03,0.002537107,0.000000e+00,0.000000e+00,0.000000e+00,0,0.002917114,2.011803e-04,2.149276e-02,4.582439e-04,0.067764217,0.83945815,0.000000e+00,0.032356491,5.141273e-04,0.000000e+00,5.588340e-05,0.000000e+00,0.000000e+00,3.978898e-03,0.000000e+00,0.000000e+00,0.009578416,9.131348e-03,4.470672e-05,1.900036e-04,2.950644e-03,1.452969e-04
P8,ES4,V2-Stage,Drought,5.632534e-05,0,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000150201,0.000000e+00,0.000000e+00,0.000000e+00,0.011584244,0.95422628,0.000000e+00,0.023844392,2.816267e-05,0.000000e+00,0.000000e+00,0.000000e+00,1.746085e-03,3.398295e-03,0.000000e+00,4.599902e-04,0.004233788,6.571289e-05,0.000000e+00,0.000000e+00,2.065262e-04,0.000000e+00
P9,UCR369,V2-Stage,Control,1.153485e-02,0,0.000000e+00,0.000000e+00,0.000000e+00,0,0.007821963,1.924361e-04,1.550809e-03,6.791863e-05,0.186425329,0.74257706,5.433491e-04,0.044271629,6.791863e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.395932e-05,5.433491e-04,0.000000e+00,0.000000e+00,0.002037559,7.923841e-05,0.000000e+00,0.000000e+00,2.060199e-03,1.924361e-04
P10,UCR369,V2-Stage,Control,4.776237e-02,0,0.000000e+00,0.000000e+00,0.000000e+00,0,0.003542241,1.736392e-04,1.681986e-02,1.967911e-04,0.008427292,0.85335587,0.000000e+00,0.012224203,0.000000e+00,0.000000e+00,0.000000e+00,5.787975e-05,0.000000e+00,4.491469e-03,0.000000e+00,0.000000e+00,0.050413261,4.398861e-04,6.945570e-05,2.546709e-04,4.630380e-04,1.308082e-03
