Sample_ID,Genotype,Drought_Stage,Treatment,none,p__Ascomycota,p__Basidiomycota,p__Chytridiomycota,p__Fungi_phy_Incertae_sedis,p__Rozellomycota
P1,ES4,V2-Stage,Control,1.70E-03,0.062403557,5.40E-05,6.97E-03,0.92826235,6.04E-04
P2,ES4,V2-Stage,Drought,3.63E-03,0.0716055,8.38E-05,2.25E-02,0.90217664,0.00E+00
P3,ES4,V2-Stage,Control,4.25E-03,0.149707384,1.64E-04,1.44E-02,0.83148574,0.00E+00
P4,ES4,V2-Stage,Drought,5.72E-05,0.044726134,0.00E+00,2.38E-03,0.95283925,0.00E+00
P5,ES4,V2-Stage,Control,2.39E-02,0.136525404,1.15E-03,1.10E-02,0.82749699,0.00E+00
P6,ES4,V2-Stage,Drought,1.58E-04,0.163257491,0.00E+00,2.83E-03,0.8337581,0.00E+00
P7,ES4,V2-Stage,Control,6.19E-03,0.114490486,2.60E-03,2.71E-02,0.84961784,0.00E+00
P8,ES4,V2-Stage,Drought,5.87E-05,0.042312731,2.15E-04,6.84E-05,0.95734509,0.00E+00
P9,UCR369,V2-Stage,Control,1.17E-02,0.239751032,2.34E-03,1.55E-03,0.74462609,0.00E+00
P10,UCR369,V2-Stage,Control,4.79E-02,0.074610811,1.91E-03,1.49E-02,0.86064847,0.00E+00
P11,UCR369,V2-Stage,Drought,4.55E-04,0.035997726,0.00E+00,1.40E-03,0.96214895,0.00E+00
P12,UCR369,V2-Stage,Drought,5.14E-04,0.003924827,0.00E+00,6.56E-05,0.99549574,0.00E+00
P13,UCR369,V2-Stage,Control,1.14E-02,0.109361841,9.12E-04,1.15E-02,0.8667423,9.36E-05
P14,UCR369,V2-Stage,Control,1.03E-02,0.127930446,1.94E-04,2.70E-02,0.83440718,1.94E-04
P15,UCR369,V2-Stage,Drought,1.25E-03,0.027446871,0.00E+00,1.68E-03,0.9696214,0.00E+00
P16,UCR369,V2-Stage,Drought,2.73E-04,0.221584176,0.00E+00,1.17E-04,0.77802518,0.00E+00
P17,ES4,V4-Stage,Control,1.56E-01,0.386889185,8.68E-04,4.31E-02,0.41312985,2.38E-04
P18,ES4,V4-Stage,Control,2.57E-03,0.164751713,2.81E-03,1.65E-03,0.82822228,0.00E+00
P19,ES4,V4-Stage,Control,4.24E-03,0.04629911,0.00E+00,3.80E-03,0.94565252,0.00E+00
P21,ES4,V4-Stage,Drought,4.55E-03,0.130137143,6.02E-03,1.38E-02,0.84488,6.29E-04
P22,ES4,V4-Stage,Control,2.40E-02,0.088707889,1.11E-02,6.72E-02,0.80894349,0.00E+00
P23,ES4,V4-Stage,Drought,8.73E-03,0.968581841,3.43E-03,2.42E-03,0.01684113,0.00E+00
P24,ES4,V4-Stage,Drought,4.35E-03,0.084655152,0.00E+00,1.05E-02,0.90049713,0.00E+00
P25,UCR369,V4-Stage,Control,9.55E-04,0.025125628,0.00E+00,1.57E-02,0.95824729,0.00E+00
P26,UCR369,V4-Stage,Drought,3.15E-02,0.156832434,4.86E-04,3.44E-02,0.77669455,1.37E-04
P27,UCR369,V4-Stage,Control,3.16E-03,0.038553403,1.63E-04,1.78E-02,0.94019504,1.28E-04
P28,UCR369,V4-Stage,Drought,8.06E-03,0.286435957,1.17E-03,4.89E-02,0.65352138,1.90E-03
P29,UCR369,V4-Stage,Control,1.28E-03,0.003640879,2.53E-03,4.80E-03,0.98775149,0.00E+00
P30,UCR369,V4-Stage,Drought,6.70E-04,0.023362921,3.04E-04,1.30E-03,0.97436568,0.00E+00
P31,UCR369,V4-Stage,Control,1.50E-01,0.188930674,1.68E-02,6.52E-02,0.5794964,8.18E-05
P32,UCR369,V4-Stage,Drought,2.25E-02,0.269832985,4.46E-03,5.78E-02,0.64548891,0.00E+00
P33,ES4,R1-Stage,Control,5.25E-03,0.24323548,1.67E-03,2.05E-02,0.72924685,1.38E-04
P34,ES4,R1-Stage,Control,2.15E-02,0.136434454,2.97E-03,1.56E-02,0.82342904,3.71E-05
P35,ES4,R1-Stage,Drought,8.42E-04,0.689281613,3.83E-05,1.77E-03,0.30806431,0.00E+00
P36,ES4,R1-Stage,Drought,7.22E-04,0.452969907,8.40E-04,8.53E-04,0.54461425,0.00E+00
P37,ES4,R1-Stage,Drought,1.48E-03,0.092938693,1.35E-03,1.24E-03,0.90270671,2.87E-04
P38,ES4,R1-Stage,Drought,6.75E-04,0.225840885,5.45E-05,1.81E-03,0.77162121,0.00E+00
P39,ES4,R1-Stage,Control,3.42E-03,0.167212632,1.26E-03,4.83E-03,0.82203054,1.25E-03
P40,ES4,R1-Stage,Control,9.45E-02,0.302633513,3.17E-03,3.67E-02,0.56282894,2.06E-04
P41,UCR369,R1-Stage,Control,1.50E-03,0.099295331,2.38E-05,6.18E-04,0.89856571,0.00E+00
P42,UCR369,R1-Stage,Drought,3.27E-04,0.48617944,3.09E-03,8.39E-04,0.50956917,0.00E+00
P43,UCR369,R1-Stage,Control,3.13E-03,0.039427115,2.09E-03,5.59E-03,0.94976641,0.00E+00
P44,UCR369,R1-Stage,Control,1.29E-01,0.32714729,3.94E-03,2.73E-02,0.51219693,6.31E-04
P45,UCR369,R1-Stage,Control,3.73E-02,0.056525878,1.16E-02,4.60E-02,0.84864505,0.00E+00
P46,UCR369,R1-Stage,Drought,1.21E-02,0.231671272,4.70E-03,7.08E-03,0.74431201,1.10E-04
P47,UCR369,R1-Stage,Drought,1.39E-03,0.112589878,6.61E-03,2.26E-03,0.87714325,0.00E+00
P48,UCR369,R1-Stage,Drought,6.86E-03,0.175514575,2.50E-04,1.09E-03,0.81627603,0.00E+00
P49,ES4,R4-Stage,Control,1.37E-02,0.182171958,2.05E-04,1.59E-02,0.78766576,3.54E-04
P50,ES4,R4-Stage,Control,1.18E-02,0.041156208,0.00E+00,3.93E-02,0.907743,0.00E+00
P51,ES4,R4-Stage,Drought,2.30E-02,0.540243551,2.32E-03,3.20E-03,0.43125868,0.00E+00
P52,ES4,R4-Stage,Drought,2.37E-03,0.479965999,1.06E-04,3.74E-03,0.5138182,0.00E+00
P53,ES4,R4-Stage,Drought,9.88E-04,0.341873631,1.09E-03,1.82E-03,0.65416229,6.33E-05
P54,ES4,R4-Stage,Control,7.40E-04,0.403450701,0.00E+00,8.61E-04,0.59494883,0.00E+00
P55,ES4,R4-Stage,Drought,1.34E-02,0.301922486,8.08E-04,5.17E-02,0.63070157,1.46E-03
P56,ES4,R4-Stage,Control,2.64E-02,0.1672267,4.88E-04,2.17E-03,0.80371211,0.00E+00
P57,UCR369,R4-Stage,Drought,2.40E-03,0.079662924,9.96E-04,9.05E-03,0.90786667,2.34E-05
P58,UCR369,R4-Stage,Control,6.97E-04,0.013415685,0.00E+00,2.72E-04,0.98561593,0.00E+00
P59,UCR369,R4-Stage,Control,1.72E-02,0.274359536,1.06E-03,2.37E-02,0.68365126,0.00E+00
P60,UCR369,R4-Stage,Drought,1.60E-02,0.96194286,3.06E-04,3.80E-03,0.01796839,0.00E+00
P61,UCR369,R4-Stage,Control,2.12E-02,0.046689472,3.54E-03,2.15E-02,0.90704137,0.00E+00
P62,UCR369,R4-Stage,Drought,6.83E-05,0.708479982,0.00E+00,2.05E-04,0.29124665,0.00E+00
P63,UCR369,R4-Stage,Control,9.17E-02,0.261481509,1.81E-03,1.82E-02,0.62680282,0.00E+00
P64,UCR369,R4-Stage,Drought,6.55E-03,0.144721618,4.63E-05,3.75E-03,0.84493451,0.00E+00
