S.NO,Genotype,Drought_Stage,Treatment,samples,Shannon,Chao1
1,ES4,V2-Stage,Control,P1,1.120116543,179
2,ES4,V2-Stage,Drought,P2,1.425890478,179
3,ES4,V2-Stage,Control,P3,1.528882814,201
4,ES4,V2-Stage,Drought,P4,1.116351566,144
5,ES4,V2-Stage,Control,P5,1.77220756,152
6,ES4,V2-Stage,Drought,P6,1.477383621,153
7,ES4,V2-Stage,Control,P7,2.300790618,188
8,ES4,V2-Stage,Drought,P8,1.126118264,116
9,UCR369,V2-Stage,Control,P9,2.120666462,115
10,UCR369,V2-Stage,Control,P10,2.219781134,198
11,UCR369,V2-Stage,Drought,P11,1.661832206,115
12,UCR369,V2-Stage,Drought,P12,1.475532107,70
13,UCR369,V2-Stage,Control,P13,2.170431467,185
14,UCR369,V2-Stage,Control,P14,2.493126193,271
15,UCR369,V2-Stage,Drought,P15,1.824115959,100
16,UCR369,V4-Stage,Drought,P16,2.061165322,76
17,ES4,V4-Stage,Control,P17,2.24267013,208
18,ES4,V4-Stage,Control,P18,1.29732155,138
19,ES4,V4-Stage,Control,P19,1.148628262,176
20,ES4,V4-Stage,Drought,P21,1.57645215,160
21,ES4,V4-Stage,Control,P22,1.913789263,187
22,ES4,V4-Stage,Drought,P23,1.988519378,137
23,ES4,V4-Stage,Drought,P24,1.319642014,202
24,UCR369,V4-Stage,Control,P25,1.270685138,156
25,UCR369,V4-Stage,Drought,P26,2.762227128,280
26,UCR369,V4-Stage,Control,P27,2.111374803,224
27,UCR369,V4-Stage,Drought,P28,3.498040512,352
28,UCR369,V4-Stage,Control,P29,1.547167008,112
29,UCR369,V4-Stage,Drought,P30,1.570850493,112
30,UCR369,V4-Stage,Control,P31,3.25539912,246
31,UCR369,V4-Stage,Drought,P32,3.122407822,236
32,ES4,R1-Stage,Control,P33,1.70248965,171
33,ES4,R1-Stage,Control,P34,1.779018912,193
34,ES4,R1-Stage,Drought,P35,2.2032416,97
35,ES4,R1-Stage,Drought,P36,1.789521209,112
36,ES4,R1-Stage,Drought,P37,1.328327327,164
37,ES4,R1-Stage,Drought,P38,1.753263878,161
38,ES4,R1-Stage,Control,P39,1.728118407,201
39,ES4,R1-Stage,Control,P40,3.141237252,369
40,UCR369,R1-Stage,Control,P41,1.851023317,123.25
41,UCR369,R1-Stage,Drought,P42,2.996450696,148
42,UCR369,R1-Stage,Control,P43,1.774020979,130
43,UCR369,R1-Stage,Control,P44,2.991721889,199
44,UCR369,R1-Stage,Control,P45,2.234872087,171
45,UCR369,R1-Stage,Drought,P46,2.594538482,188.75
46,UCR369,R1-Stage,Drought,P47,2.166305198,181.2
47,UCR369,R1-Stage,Drought,P48,2.334528786,171.25
48,ES4,R4-Stage,Control,P49,1.986813187,220
49,ES4,R4-Stage,Control,P50,1.269553915,127
50,ES4,R4-Stage,Drought,P51,2.449241762,178
51,ES4,R4-Stage,Drought,P52,1.535807915,131
52,ES4,R4-Stage,Drought,P53,1.973846854,128
53,ES4,R4-Stage,Control,P54,2.071699471,150
54,ES4,R4-Stage,Drought,P55,2.734776054,199
55,ES4,R4-Stage,Control,P56,1.557314827,146
56,UCR369,R4-Stage,Drought,P57,2.029827582,187
57,UCR369,R4-Stage,Control,P58,1.547573154,101
58,UCR369,R4-Stage,Control,P59,2.949771362,228
59,UCR369,R4-Stage,Drought,P60,1.888961193,125
60,UCR369,R4-Stage,Control,P61,1.963766256,149
61,UCR369,R4-Stage,Drought,P62,1.805291204,49
62,UCR369,R4-Stage,Control,P63,2.965525552,238
63,UCR369,R4-Stage,Drought,P64,2.478664438,165
